ProtID	GO_ID
MGG_00005	GO:0003674, GO:0008150, GO:0005575
MGG_00010	GO:0016021, GO:0055085, GO:0022857, GO:0016020
MGG_00015	GO:0032259, GO:0016740, GO:0008168, GO:0008171
MGG_00016	GO:0016829, GO:0005575, GO:0017000
MGG_00017	GO:0000166, GO:0008152, GO:0003824
MGG_00018	GO:0016021, GO:0055085, GO:0022857, GO:0016020
MGG_00019	GO:0003674, GO:0005575
MGG_00021	GO:0008270, GO:0005634, GO:0006355, GO:0003700, GO:0000981, GO:0006357
MGG_00022	GO:0008152, GO:0003824, GO:0016874, GO:0048037, GO:0031177
MGG_00023	GO:0046872, GO:0016021, GO:0009055, GO:0020037, GO:0005506, GO:0016491, GO:0055114, GO:0004497, GO:0016705, GO:0003674, GO:0008150, GO:0005575, GO:0016020
MGG_00024	GO:0046872, GO:0016021, GO:0009055, GO:0020037, GO:0005506, GO:0055114, GO:0004497, GO:0016705, GO:0003674, GO:0008150, GO:0005575, GO:0016020
MGG_00026	GO:0016740, GO:0008299
MGG_00031	GO:0016021, GO:0008152, GO:0016491, GO:0055114, GO:0005575, GO:0071949, GO:0016020
MGG_00032	GO:0008270, GO:0005634, GO:0006355, GO:0003700, GO:0000981, GO:0045944
MGG_00033	GO:0016787, GO:0008233
MGG_00035	GO:0003674, GO:0008150, GO:0005575
MGG_00039	GO:0005524, GO:0005975, GO:0016491, GO:0055114, GO:0016301, GO:0005575, GO:0000166, GO:0016740, GO:0016310
MGG_00040	GO:0016021, GO:0006810, GO:0055085, GO:0008643, GO:0016020, GO:0005215, GO:0022891, GO:0022857
MGG_00041	GO:0032259, GO:0016740, GO:0008168, GO:0008171, GO:0008150, GO:0005575
MGG_00042	GO:0005975, GO:0003824, GO:0043169, GO:0004560, GO:0006004, GO:0016787, GO:0016798, GO:0008152
MGG_00043	GO:0003674, GO:0008150, GO:0005575
MGG_00045	GO:0016021, GO:0006810, GO:0055085, GO:0016020, GO:0005215, GO:0022891, GO:0022857
MGG_00046	GO:0003674, GO:0008150, GO:0005575
MGG_00047	GO:0003674, GO:0008150, GO:0005575
MGG_00048	GO:0050660, GO:0004499, GO:0050661, GO:0016491
MGG_00049	GO:0046872, GO:0008270, GO:0003677, GO:0005634, GO:0006355, GO:0006351, GO:0003700, GO:0000981, GO:0006357
MGG_00050	GO:0005975, GO:0003824, GO:0004553, GO:0004560, GO:0003674, GO:0008150, GO:0005575
MGG_00052	GO:0003674, GO:0005575
MGG_00053	GO:0005634, GO:0005730, GO:0006364, GO:0003723, GO:0032040
MGG_00054	GO:0016021, GO:0055085, GO:0022857, GO:0016020
MGG_00056	GO:0000166, GO:0008152, GO:0016491, GO:0055114, GO:0005575, GO:0044249, GO:1901576
MGG_00057	GO:0008270, GO:0000166, GO:0016491, GO:0055114
MGG_00058	GO:0000166, GO:0008152, GO:0016491, GO:0055114, GO:0005575, GO:0044249, GO:1901576
MGG_00059	GO:0046872, GO:0016021, GO:0009055, GO:0020037, GO:0005506, GO:0016491, GO:0055114, GO:0004497, GO:0016705, GO:0003674, GO:0008150, GO:0005575, GO:0016020
MGG_00062	GO:0016021, GO:0003674, GO:0008150, GO:0005575, GO:0016020
MGG_00063	GO:0005737, GO:0005975, GO:0003824, GO:0005978, GO:0004135, GO:0043169, GO:0005575, GO:0004134, GO:0005980
MGG_00065	GO:0005575
MGG_00066	GO:0003674, GO:0008150, GO:0005575
MGG_00067	GO:0046168, GO:0004367, GO:0016616, GO:0051287, GO:0009331, GO:0006072, GO:0016491, GO:0005975
MGG_00068	GO:0003674, GO:0005575, GO:0003839, GO:0016829
MGG_00070	GO:0008270, GO:0005634, GO:0006355, GO:0003700, GO:0000981, GO:0006357
MGG_00072	GO:0050660, GO:0003824, GO:0016491, GO:0055114, GO:0016614, GO:0008762, GO:0071949, GO:1901360
MGG_00073	GO:0016779, GO:0004652, GO:0008150, GO:0005575, GO:0046872, GO:0016070, GO:0043631, GO:0031499
MGG_00074	GO:0003824, GO:0030246, GO:0016052, GO:0003674, GO:0008150, GO:0005575
MGG_00075	GO:0016491, GO:0055114
MGG_00076	GO:0005737, GO:0005575
MGG_00077	GO:0016021, GO:0003674, GO:0005575, GO:0016020, GO:0005975
MGG_00078	GO:0016021, GO:0016020
MGG_00079	GO:0003674, GO:0008150, GO:0005575
MGG_00080	GO:0003676, GO:0008270, GO:0005622
MGG_00081	GO:0003674, GO:0005575
MGG_00082	GO:0003674, GO:0008150, GO:0005575
MGG_00083	GO:0003674, GO:0008150, GO:0005575
MGG_00084	GO:0005975, GO:0006486, GO:0005509, GO:0016020, GO:0004571, GO:0016787, GO:0016798, GO:0008152, GO:0030433
MGG_00085	GO:0016021, GO:0006810, GO:0055085, GO:0016020, GO:0005215, GO:0022891, GO:0022857
MGG_00086	GO:0005975, GO:0008152, GO:0016787, GO:0005576, GO:0003824, GO:0006032, GO:0004553, GO:0008061, GO:0043169, GO:0004568, GO:0000272, GO:0016798, GO:0005575
MGG_00087	GO:0005730, GO:0019843, GO:0000027, GO:0006364, GO:0042254
MGG_00088	GO:0005975, GO:0008152, GO:0016787, GO:0003824, GO:0030246
MGG_00095	GO:0003674, GO:0008150, GO:0005575
MGG_00096	GO:0008270, GO:0005634, GO:0006355, GO:0003700, GO:0000981, GO:0006357
MGG_00097	GO:0016491, GO:0055114, GO:0008150, GO:0005575
MGG_00099	GO:0008152, GO:0016787, GO:0005575
MGG_00100	GO:0008152, GO:0003824, GO:0008150, GO:0005575
MGG_00101	GO:0005737, GO:0005634, GO:0000166, GO:0005525, GO:0003924, GO:0016887, GO:0006606, GO:0008150, GO:0005575, GO:0007064, GO:0016787, GO:0006913
MGG_00102	GO:0005681, GO:0008152, GO:0000398, GO:0003824, GO:0003674
MGG_00103	GO:0016881, GO:0005575, GO:0070647
MGG_00104	GO:0005622, GO:0003779
MGG_00105	GO:0005634, GO:0006336, GO:0005515, GO:0006325
MGG_00106	GO:0008150, GO:0005575, GO:0005515, GO:0015031, GO:0006893, GO:0034044, GO:0006896, GO:0043001
MGG_00109	GO:0016021, GO:0055085, GO:0015700, GO:0015105, GO:0016020
MGG_00110	GO:0016787, GO:0005575
MGG_00111	GO:0046872, GO:0016021, GO:0005524, GO:0000166, GO:0008152, GO:0016787, GO:0000287, GO:0016020, GO:0003824, GO:0015914, GO:0004012, GO:0015662, GO:0006812, GO:0016820, GO:0140326, GO:0034204, GO:0005215, GO:0016887
MGG_00112	GO:0016021, GO:0003674, GO:0005575, GO:0016020
MGG_00116	GO:0016021, GO:0016020
MGG_00117	GO:0008270, GO:0005634, GO:0003743, GO:0006355, GO:0006352, GO:0006413, GO:0045893, GO:0070897, GO:0017025, GO:0000995, GO:0000126, GO:0006383
MGG_00118	GO:0005622, GO:0005097, GO:0032313
MGG_00119	GO:0003674, GO:0008150, GO:0005575
MGG_00120	GO:0003674, GO:0008150, GO:0005575
MGG_00123	GO:0008150, GO:0005575, GO:0005515
MGG_00124	GO:0003674, GO:0005575, GO:0043130
MGG_00126	GO:0016021, GO:0005515, GO:0016020
MGG_00127	GO:0016021, GO:0000166, GO:0016491, GO:0055114, GO:0005575, GO:0016020
MGG_00128	GO:0016021, GO:0016020, GO:0005739
MGG_00129	GO:0006364, GO:0030515
MGG_00133	GO:0016021, GO:0022857, GO:0055085, GO:0016020
MGG_00134	GO:0046872, GO:0008270, GO:0005694, GO:0008150, GO:0005575
MGG_00135	GO:0005737, GO:0005524, GO:0000166, GO:0051082, GO:0006457, GO:0044267, GO:0005575, GO:0140662, GO:0016887, GO:0032991, GO:0051086, GO:0005832
MGG_00136	GO:0003677, GO:0005634
