Appresor	Species	Lifestyle
Hyaline	Alter_alter	Necrotroph
Hyaline	Alter_brass	Necrotroph
None	Aspfl_GeneC	Saprophyte
None	Asper_fumig	Saprophyte
None	Asper_nidul	Saprophyte
Hyaline	Botry_ciner	Necrotroph
Hyaline	Blume_grami	Biotroph
Hyaline	Bipol_oryza	Hemibiotroph
Hyaline	Bipol_sorok	Hemibiotroph
None	Candi_albic	Commensal
None	Cytch_GeneC	Necrotroph
Melanized	Colle_fruct	Hemibiotroph
Melanized	Colle_gloeo	Hemibiotroph
Hyaline	Coche_GeneM	Necrotroph
Melanized	Colle_higgi	Hemibiotroph
None	Crypt_neofo	Saprophyte
None	Clavi_purpu	Biotroph
Hyaline	Fusar_grami	Hemibiotroph
Hyaline	Fusar_oxyso	Hemibiotroph
Hyaline	Fusar_5176o	Hemibiotroph
Hyaline	Fusar_oxysp	Hemibiotroph
Hyaline	Fusar_verti	Hemibiotroph
None	Histo_capsu	Saprophyte
Melanized	MGG	Hemibiotroph
None	Neuro_crass	Saprophyte
Hyaline	Pucci_grami	Biotroph
None	Pirin_GeneC	Endophyte
None	Penic_oxali	Saprophyte
Hyaline	PpacP_GeneC	Biotroph
Hyaline	Pucci_strii	Biotroph
None	Pyren_teres	Necrotroph
None	Rhizo_irreg	Symbiont
None	Sacch_cerev	Saprophyte
None	Stano_GeneC	Necrotroph
None	Schiz_pombe	Saprophyte
Hyaline	Scler_scler	Necrotroph
None	Settu_GeneC	Hemibiotroph
Hyaline	Ustil_maydi	Biotroph
None	Ustil_viren	Biotroph
None	Verti_dahli	Hemibiotroph
None	Valsa_gca_0	Necrotroph
None	Zymos_triti	Hemibiotroph
