target_id,Dbip1_0h,Dbip1_24h,Dbip1_4h,Dmst12_0h,Dmst12_24h,Dmst12_4h,Guy11_0h,Guy11_24h,Guy11_4h
EFMOT00000000001,1.6666666666666665,4.3030333333333335,4.666666666666667,3.8333333333333335,4.23034,11.333333333333334,4.733333333333333,3.3333333333333335,0.3333333333333333
EFMOT00000000002,0,0,0,0,0,0,0,0,0
EFMOT00000000003,0,0,0,0,0,0,0,0,0
EFMOT00000000005,0,0.4,0.33333333333333337,0.6666666666666667,0.6666666666666667,2.4777766666666667,0.6666666666666666,0,0
EFMOT00000000009,0.6666666666666667,1.6666666666666667,0,0.89232,0.6666666666666666,0,1.6666666666666665,0.33333333333333337,1
EFMOT00000000010,0,0,0.16666666666666669,0.16666666666666669,0,0,0,0,0
EFMOT00000000011,0,0,0,0,0,0,0,0,0
EFMOT00000000012,1,0.33333333333333337,0.33333333333333337,0.6666666666666667,0,0.33333333333333337,2,0,0
EFMOT00000000013,0,0,0,0,0,0,0,0,0
EFMOT00000000014,0,0,0,0,0,0,0,0,0
EFMOT00000000015,0,0,0,0,0,0,0,0,0
EFMOT00000000016,0,0,0,0,0,0,0,0,0
EFMOT00000000017,0,0,0,0,0,0,0,0,0
EFMOT00000000018,0,0,0,0,0,0,0,0,0
EFMOT00000000019,0.22222233333333336,0.7878800000000001,1,1.11111,0.8055566666666667,1.6,0,0.11111099999999999,0
EFMOT00000000020,0.33333333333333337,0.33333333333333337,0.33333333333333337,0,0.6666666666666667,0,0,0,0.33333333333333337
EFMOT00000000021,0,0,0,0,0,0,0,0,0
EFMOT00000000023,0.33333333333333337,0,2.127953333333333,0,0,0.33333333333333337,0.37795333333333336,0,1
EFMOT00000000024,0,0,0,0,0,0,0,0,0
EFMOT00000000025,4.333333333333333,6.624693333333333,2.3894366666666667,2.3333333333333335,15.530566666666667,7,1.44978,5.879463333333334,9.666666666666666
EFMOT00000000028,0.6666666666666666,4.733333333333333,3,1.3333333333333333,4.666666666666667,1.2374999999999998,2.6666666666666665,3.2051266666666667,1.3333333333333333
EFMOT00000000029,2.6666666666666665,7.583846666666667,3.4214466666666667,3.9176966666666666,3.8932766666666665,4.9575000000000005,2,1,3.6847266666666667
EFMOT00000000030,5.333333333333333,1.7494866666666666,6.24522,1.7489700000000001,2.4400566666666665,6.0425,2.6666666666666665,1.3333333333333333,2.3152733333333333
EFMOT00000000032,0,0,0,0,0,0,0,0,0
EFMOT00000000033,0.6666666666666666,12.666666666666666,0.9999986666666667,2.2222223333333333,7.11111,0.5555556666666667,0.3333333333333333,7.666676666666667,0.5555556666666667
EFMOT00000000036,0,2.4444456666666667,0,0,0,0,0.4444433333333333,0,0
EFMOT00000000037,0.33333333333333337,1.3333333333333333,0.33333333333333337,0,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337
EFMOT00000000039,0,0,0,0.6666666666666666,1.3333333333333333,0,0,0,0
EFMOT00000000041,0,0,0,0.33333333333333337,0.33333333333333337,0,0,0,0
EFMOT00000000042,0,0,0,0,0,0,0,0,0
EFMOT00000000044,0,0,0,1,0,0,0,0,0
EFMOT00000000045,0,0,0,0,0,0,0,0,0
EFMOT00000000046,3.3333333333333335,8.333333333333334,2,0.6666666666666666,1,5.333333333333333,0.33333333333333337,4.666666666666667,0.6666666666666666
EFMOT00000000048,0,0,0,0,0,0,0,0,0
EFMOT00000000049,0,0,0,0,0,0,0,0,0
EFMOT00000000050,0,0,0,0,0,0,0,0,0
EFMOT00000000051,0.888889,1.5555556666666666,0.5555556666666667,0.333333,1.88889,0.22222233333333336,1.2222223333333333,1.4444446666666666,0.11111099999999999
EFMOT00000000053,0,0,0,0,0,0,0,0,0
EFMOT00000000054,5.666666666666667,141.12266666666667,9.5,8.952366666666666,161.0961,9.619046666666666,7.166666666666667,86.6207,19.333333333333332
EFMOT00000000055,0,0,0,0,0,0,0,0,0
EFMOT00000000059,0,0,0,0,0,0,0,0,0
EFMOT00000000060,0,0,0,0,0,0,0,0,0
EFMOT00000000062,0,0,0,0,0,0,0,0,0
EFMOT00000000063,0,0,0,0,0,0,0,0,0
EFMOT00000000064,0,0,0,0,0,0,0,0,0
EFMOT00000000065,0,0,0,0,0,0,0,0,0
EFMOT00000000066,7.333333333333333,7,8.333333333333334,5.333333333333333,7.266666666666667,11.666666666666666,7.35985,0.33333333333333337,6
EFMOT00000000067,0,0,0,0,0,0,0,0,0
EFMOT00000000068,0.6689633333333334,0,0,0.33344666666666667,0,0,0.33333333333333337,0,0.33333333333333337
EFMOT00000000069,0.6666666666666667,1.3333333333333335,0.6666666666666666,1,1.3333333333333335,0.6666666666666667,0,2.3333333333333335,0
EFMOT00000000070,0.33333333333333337,1.0105266666666666,2.5217,0.6666666666666666,1.6666666666666667,0.33333333333333337,0.6666666666666666,0,0
EFMOT00000000072,0,0,0,0,0,0,0,0,0
EFMOT00000000073,0,0,0,0,0,0,0,0,0
EFMOT00000000074,0.33365999999999996,0.6669366666666666,0,0,0,0.66798,0.33333333333333337,0,0.67417
EFMOT00000000075,0.11111099999999999,1.3333333333333333,0.888889,0.7777776666666667,0.5555556666666667,0.5555556666666667,0,0.3333333333333333,0.222222
EFMOT00000000076,0,0,0,0,0,0,0,0,0
EFMOT00000000077,0,1,0,0.33333333333333337,0.36558999999999997,2.2444433333333333,0,0,0
EFMOT00000000078,0,0,0,0,0,0,0,0,0
EFMOT00000000079,0,0,0,0,0,0,0,0,0
EFMOT00000000080,0,0.33333333333333337,0,0.34141,0,0,0,0,0
EFMOT00000000081,0.11111099999999999,1.3333333333333333,0.888889,0.7777776666666667,0.5555556666666667,0.5555556666666667,0,0.3333333333333333,0.222222
EFMOT00000000082,11.666666666666666,14.940733333333332,7.666666666666667,17.666666666666668,12.221463333333332,4.333333333333333,9.333333333333334,4.666666666666667,0.33333333333333337
EFMOT00000000083,0,0,0,0,0,0,0,0,0
EFMOT00000000084,0,0.777779,0.195044,0,1.7846300000000002,0,0.4444433333333333,0,0
EFMOT00000000085,0,0,0,0,0,0,0,0,0
EFMOT00000000086,0,0,0,0,0,0,0,0,0
EFMOT00000000087,0.32539666666666667,2.7333333333333334,0.8362746666666667,0.18932733333333335,2.5459833333333335,2.2333333333333334,0.8333333333333333,1,0.17948733333333333
EFMOT00000000088,0,0,0,0,0,0,0,0,0
EFMOT00000000089,0,1.3333333333333333,0.6666666666666667,0,0,1,1,0,0.33333333333333337
EFMOT00000000091,0,1.5,3,0,24.8874,4.00808,0.33333333333333337,5,0.6666666666666666
EFMOT00000000092,0,0.777779,0.195044,0,1.7846300000000002,0,0.4444433333333333,0,0
EFMOT00000000093,0,0,0,0,0,0,0,0,0
EFMOT00000000094,1.3333333333333333,2.6666666666666665,2.6666666666666665,1,6.333333333333333,1,1,2,1
EFMOT00000000095,0,0,0,0,0,0,0,0,0
EFMOT00000000097,3.0833333333333335,1.0833333333333333,3,2.9166666666666665,1.5833333333333333,2.6666666666666665,2.5833333333333335,2.25,1.25
EFMOT00000000098,0,0,0,0,0,0,0,0,0
EFMOT00000000099,0,0,0,0,0,0,0,0,0
EFMOT00000000100,0,0,0,0,0,0,0,0,0
EFMOT00000000101,3.1189333333333336,8.551160000000001,3.0049366666666666,4.042813333333333,4.44656,1.0897433333333333,3.0836266666666665,1.6666666666666665,2.8532433333333334
EFMOT00000000102,0,0,0,0,0,0,0,0,0
EFMOT00000000103,0,0,0,0,0,0,0,0,0
EFMOT00000000104,0.33333333333333337,1.0555556666666668,0,0,0,1,0.6666666666666667,0,0
EFMOT00000000105,0.33333333333333337,0.8496599999999999,0,3.3333333333333335,2.8802533333333336,0,0.33333333333333337,0,0
