Id,downreg_in_guy11_4h,downreg_in_guy11_24h,upreg_in_guy11_0h,upreg_in_guy11_4h,downreg_in_guy11_0h,upreg_in_guy11_24h
EFMO0000000001,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000005,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000066,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000082,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000091,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000154,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
EFMO0000000157,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
EFMO0000000187,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
EFMO0000000193,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
EFMO0000000208,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000209,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
EFMO0000000215,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
EFMO0000000272,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000274,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000309,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
EFMO0000000315,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000326,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
EFMO0000000330,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
EFMO0000000344,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG
EFMO0000000351,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
EFMO0000000379,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00005,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00018,Dmst12,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00021,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00022,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00024,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00032,Dmst12,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00039,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Dbip1
MGG_00041,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00045,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00048,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00049,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00052,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Dbip1,Not_DEG
MGG_00053,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00054,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,"Dbip1, Dmst12"
MGG_00056,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00057,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00058,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00059,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00063,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00065,Dmst12,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00066,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00067,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00068,Not_DEG,Dbip1,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00071,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG
MGG_00072,Not_DEG,Dmst12,Not_DEG,"Dbip1, Dmst12",Not_DEG,Dbip1
MGG_00075,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00076,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00077,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00078,Not_DEG,Not_DEG,Not_DEG,Dmst12,Dmst12,Not_DEG
MGG_00079,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00081,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00083,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00084,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00085,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG
MGG_00086,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00087,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00088,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00103,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00104,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00105,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Dmst12
MGG_00109,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00110,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG,"Dbip1, Dmst12"
MGG_00111,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00116,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00119,Not_DEG,Not_DEG,"Dbip1, Dmst12",Dmst12,Not_DEG,Not_DEG
MGG_00120,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00127,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00129,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00133,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00134,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Dbip1,"Dbip1, Dmst12"
MGG_00137,Dmst12,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00138,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00139,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00141,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00142,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00145,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00150,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
