target_id Guy11_0h Guy11_4h Guy11_24h Dbip1_0h Dbip1_4h Dbip1_24h Dmst12_0h Dmst12_4h Dmst12_24h
MGG_17160T0 21.666666666666668 17.333333333333332 2.3333333333333335 15.333333333333334 16 21.333333333333332 12 21 6
MGG_01972T0 1366.6 1471.1366666666663 506.0393333333334 967.9796666666666 1373.5696666666663 1325.7043333333334 1075.141 1527.3566666666668 850.431
MGG_17111T0 531.1370000000001 504.6666666666667 177.33333333333334 391.6666666666667 449.291 385.75933333333336 310.8713333333333 492.6043333333334 225.41333333333333
MGG_14668T0 47.333333333333336 61.666666666666664 17.333333333333332 43 42 51.666666666666664 41.333333333333336 63.333333333333336 38
MGG_13121T0 1127.3333333333333 1144 497 694.6666666666666 1173.6666666666667 1013.3333333333334 1018.3333333333334 1347.3333333333333 886
MGG_17051T0 37 48 14 21.333333333333332 39 39.666666666666664 37 56.666666666666664 32
MGG_07263T0 302.3333333333333 222.66666666666663 99 166 163.33333333333334 300.3333333333333 212.33333333333337 214.33333333333337 206.66666666666663
MGG_15847T0 8.333333333333334 5 0.33333333333333337 1.3333333333333337 3 8 1.6666666666666663 2.6666666666666665 3.34358
MGG_11606T0 406 117 126.33333333333331 237 200.33333333333337 302.3333333333333 238 250.66666666666663 224.33333333333337
MGG_16620T0 10.333333333333334 3.666666666666667 0.6666666666666667 4 0.33333333333333337 7 3 5 2.6666666666666665
MGG_15154T0 41073 7779.333333333333 8071.333333333333 11265.666666666666 7809.333333333333 22403 9046 13523 9881.666666666666
MGG_03662T0 5836 1151.3333333333333 768.6666666666666 936 1478.3333333333333 3456 1058 1758 2618.3333333333335
MGG_09192T0 668.6706666666666 625.8756666666667 135.11113333333333 400.64 459.682 484.8053333333333 612.0613333333333 534.456 430.29066666666665
MGG_09349T0 4314.666666666667 3147.3333333333335 901 2509.6666666666665 1842.3333333333333 2555 3742 1860.3333333333333 2084.3333333333335
MGG_04979T0 3465 1884 1147 1305 2102.6666666666665 2538 2626 2895.6666666666665 1380.6666666666667
MGG_17276T0 68567 30889.333333333332 19832 48042 38748.666666666664 51274.666666666664 61678 45033 25271.333333333332
MGG_00846T0 247 91 62.666666666666664 92.66666666666669 100 166 264.3333333333333 127.66666666666669 95.33333333333331
MGG_03413T0 459 1023.3333333333334 700.3333333333334 1013.6666666666666 857.3333333333334 838.6666666666666 1085.6666666666667 987.3333333333334 1020
MGG_06314T0 254.73833333333332 866.442 604.3023333333333 847.9516666666666 527.2756666666667 603.5096666666667 809.6096666666666 544.068 708.7476666666666
MGG_05706T0 767.6666666666666 3354 2572 4326 2755 2926.6666666666665 3930.6666666666665 2545 3365
MGG_01682T0 114.33333333333331 529.3333333333334 307 760 458.6666666666667 450 543.3333333333334 293 501.3333333333333
MGG_00523T0 176.66666666666666 366.6666666666667 423.3333333333333 538.6666666666666 476.3333333333333 469.3333333333333 486.6666666666667 517.6666666666666 521.3333333333334
MGG_10686T0 488 831 907.6666666666666 1250.6666666666667 998 1057.6666666666667 1070.3333333333333 1125 1141.6666666666667
MGG_07014T0 467.3333333333333 656.6666666666666 969.6666666666666 1600.6666666666667 973.6666666666666 929.3333333333334 1306.3333333333333 1404.6666666666667 1281.6666666666667
MGG_03192T0 669.6666666666666 865.6666666666666 1006.3333333333334 1728.6666666666667 1512.3333333333333 1258.3333333333333 1449.3333333333333 1707.3333333333333 1725.3333333333333
MGG_02045T0 144 534.3333333333334 356.3333333333333 1730.3333333333333 999.6666666666666 1031 1258.6666666666667 1572.6666666666667 1314
MGG_01510T0 451 764 708.3333333333334 1050 954.6666666666666 700 925.3333333333334 895.3333333333334 906
MGG_11482T0 713.6666666666666 1397 1349 1898.3333333333333 1919.6666666666667 1343 1628 1800.6666666666667 1940.6666666666667
MGG_08913T0 1008.4003333333334 1609.94 1799.07 2392.9133333333334 2079.626666666667 1501.84 2192.07 2381.616666666667 2001.0433333333333
MGG_13465T0 260.6813333333333 450.3333333333333 493 535.9076666666666 482.7706666666666 390.6666666666667 553.9283333333333 631.4746666666666 511.98066666666665
MGG_09784T0 1598.6666666666667 3705.6666666666665 1993.3333333333333 3995.3333333333335 3116.6666666666665 2932 2326.3333333333335 3562.3333333333335 3087
MGG_11707T0 526.3333333333334 1022.3333333333334 796.6666666666666 1544.3333333333333 1276 966.6666666666666 1270.6666666666667 1036 1003.6666666666666
MGG_02896T0 1289.5533333333333 2896.903333333333 1857.6533333333336 3572.936666666667 2939.8 2645.2200000000003 2778.9700000000003 2751.7799999999997 2820.27
MGG_16319T0 373.6666666666667 695 547 1115.6666666666667 816.3333333333334 820 767.3333333333334 665.3333333333334 782.3333333333334
MGG_03458T0 260.3333333333333 590 460.3333333333333 968.3333333333334 833.3333333333334 731.3333333333334 701 856.6666666666666 703.3333333333334
MGG_15946T0 298.287 590.434 330.99266666666665 906.7006666666666 723.0183333333333 745.674 492.19933333333336 728.401 510.71
MGG_02655T0 4358.333333333333 5134 1598 5068 3871.3333333333335 3526.6666666666665 6105.666666666667 4593 2135.3333333333335
MGG_12473T0 4473.333333333333 7198 2241.5666666666666 5743.666666666667 5837.333333333333 5776.593333333333 7953.333333333333 4462.953333333333 4358
MGG_07000T0 5125.333333333333 8381.666666666666 2152.6666666666665 7092.333333333333 8747.333333333334 4269 6213 8250.666666666666 3172.6666666666665
MGG_02520T0 3794.3333333333335 11377.333333333334 2055 9959.666666666666 8852.333333333334 2478 7274.333333333333 6607 3202.6666666666665
