GO.ID	Term	Annotated	Significant	Expected	topgoFisher
GO:0006364	rRNA processing	138	71	11.79	6.2e-15
GO:0000463	maturation of LSU-rRNA from tricistronic...	19	15	1.62	1.9e-11
GO:0000447	endonucleolytic cleavage in ITS1 to sepa...	16	12	1.37	1.8e-10
GO:0000472	endonucleolytic cleavage to generate mat...	14	11	1.2	4.7e-10
GO:0000480	endonucleolytic cleavage in 5'-ETS of tr...	13	10	1.11	4.4e-09
GO:0051028	mRNA transport	38	15	3.25	3.8e-08
GO:0000462	maturation of SSU-rRNA from tricistronic...	34	23	2.9	1.8e-07
GO:0000027	ribosomal large subunit assembly	15	9	1.28	7.2e-07
GO:0006338	chromatin remodeling	84	22	7.17	1.2e-06
GO:0042273	ribosomal large subunit biogenesis	41	29	3.5	2.1e-06
GO:0000466	maturation of 5.8S rRNA from tricistroni...	33	21	2.82	8.2e-06
GO:0000055	ribosomal large subunit export from nucl...	8	6	0.68	9.2e-06
GO:0006913	nucleocytoplasmic transport	73	21	6.23	9.3e-06
GO:0006357	regulation of transcription by RNA polym...	282	43	24.08	4.0e-05
GO:0042274	ribosomal small subunit biogenesis	49	31	4.18	6.9e-05
GO:0006355	regulation of DNA-templated transcriptio...	428	67	36.55	0.00022
GO:0000160	phosphorelay signal transduction system	17	7	1.45	0.00029
GO:0042254	ribosome biogenesis	180	90	15.37	0.00054
GO:0019432	triglyceride biosynthetic process	3	3	0.26	0.00062
GO:1902626	assembly of large subunit precursor of p...	6	4	0.51	0.00069
GO:0007049	cell cycle	246	37	21.01	0.00159
GO:0016973	poly(A)+ mRNA export from nucleus	12	5	1.02	0.00213
GO:0006397	mRNA processing	135	24	11.53	0.00219
GO:0031167	rRNA methylation	14	5	1.2	0.00541
GO:0043144	sno(s)RNA processing	9	3	0.77	0.00728
GO:0120290	stalled replication fork localization to...	2	2	0.17	0.00728
GO:0110136	protein-RNA complex remodeling	2	2	0.17	0.00728
GO:0006552	leucine catabolic process	2	2	0.17	0.00728
GO:0070125	mitochondrial translational elongation	2	2	0.17	0.00728
GO:1990426	mitotic recombination-dependent replicat...	2	2	0.17	0.00728
GO:0007089	traversing start control point of mitoti...	2	2	0.17	0.00728
GO:0097623	potassium ion export across plasma membr...	2	2	0.17	0.00728
GO:0006470	protein dephosphorylation	28	7	2.39	0.00775
GO:0048315	conidium formation	11	4	0.94	0.01069
GO:0006396	RNA processing	352	104	30.06	0.01374
GO:0030150	protein import into mitochondrial matrix	12	4	1.02	0.01497
GO:0030490	maturation of SSU-rRNA	41	26	3.5	0.01542
GO:0042255	ribosome assembly	24	13	2.05	0.01615
GO:0031564	transcription antitermination	3	2	0.26	0.02061
GO:0031440	regulation of mRNA 3'-end processing	3	2	0.26	0.02061
GO:0000244	spliceosomal tri-snRNP complex assembly	3	2	0.26	0.02061
GO:2000232	regulation of rRNA processing	3	2	0.26	0.02061
GO:0031047	regulatory ncRNA-mediated gene silencing	20	6	1.71	0.02488
GO:0006362	transcription elongation by RNA polymera...	8	3	0.68	0.02507
GO:0032508	DNA duplex unwinding	23	5	1.96	0.02637
GO:0000079	regulation of cyclin-dependent protein s...	15	4	1.28	0.03363
GO:0006417	regulation of translation	53	7	4.53	0.03522
GO:0051260	protein homooligomerization	4	2	0.34	0.03890
GO:0006535	cysteine biosynthetic process from serin...	4	2	0.34	0.03890
GO:1990961	xenobiotic detoxification by transmembra...	4	2	0.34	0.03890
GO:0006265	DNA topological change	4	2	0.34	0.03890
GO:0002943	tRNA dihydrouridine synthesis	4	2	0.34	0.03890
GO:2000786	positive regulation of autophagosome ass...	4	2	0.34	0.03890
GO:0006289	nucleotide-excision repair	24	6	2.05	0.04118
GO:0000184	nuclear-transcribed mRNA catabolic proce...	10	3	0.85	0.04724
