GO.ID	Term	Annotated	Significant	Expected	topgoFisher
GO:0005730	nucleolus	146	80	12.71	< 1e-30
GO:0032040	small-subunit processome	35	27	3.05	1.9e-22
GO:0030687	preribosome, large subunit precursor	22	19	1.92	6.7e-15
GO:0005634	nucleus	1255	238	109.28	2.1e-10
GO:0005643	nuclear pore	24	13	2.09	7.8e-08
GO:0005622	intracellular anatomical structure	2867	383	249.65	3.9e-05
GO:0030688	preribosome, small subunit precursor	11	7	0.96	6.6e-05
GO:0030686	90S preribosome	19	15	1.65	0.00021
GO:0034388	Pwp2p-containing subcomplex of 90S preri...	3	3	0.26	0.00066
GO:0000428	DNA-directed RNA polymerase complex	61	13	5.31	0.00158
GO:0005721	pericentric heterochromatin	8	4	0.7	0.00300
GO:0005732	sno(s)RNA-containing ribonucleoprotein c...	19	7	1.65	0.00702
GO:0030690	Noc1p-Noc2p complex	2	2	0.17	0.00757
GO:0030691	Noc2p-Noc3p complex	2	2	0.17	0.00757
GO:0070545	PeBoW complex	2	2	0.17	0.00757
GO:0032301	MutSalpha complex	2	2	0.17	0.00757
GO:0140445	chromosome, telomeric repeat region	10	4	0.87	0.00782
GO:0005739	mitochondrion	435	56	37.88	0.00887
GO:0005744	TIM23 mitochondrial import inner membran...	10	4	0.87	0.01074
GO:0016459	myosin complex	6	3	0.52	0.01076
GO:0071014	post-mRNA release spliceosomal complex	24	6	2.09	0.01472
GO:0005654	nucleoplasm	91	15	7.92	0.01494
GO:0005635	nuclear envelope	51	19	4.44	0.01518
GO:0000439	transcription factor TFIIH core complex	7	3	0.61	0.01763
GO:0005741	mitochondrial outer membrane	28	7	2.44	0.02036
GO:0099115	chromosome, subtelomeric region	3	2	0.26	0.02140
GO:0034457	Mpp10 complex	3	2	0.26	0.02140
GO:0000935	division septum	9	3	0.78	0.03708
GO:0097038	perinuclear endoplasmic reticulum	4	2	0.35	0.04035
GO:0005742	mitochondrial outer membrane translocase...	4	2	0.35	0.04035
GO:0033553	rDNA heterochromatin	4	2	0.35	0.04035
GO:0031428	box C/D RNP complex	4	2	0.35	0.04035
