target_id	length	eff_length	est_counts	tpm
MGG_07573T0	4058	4059	971	18.3773
MGG_05134T0	1811	1812	1955	82.8841
MGG_03309T0	1113	1114	7	0.48272
MGG_07008T0	2587	2588	1554	46.1285
MGG_16787T0	429	430	0	0
MGG_04858T0	3024	3025	3445	87.4876
MGG_12006T0	1560	1561	7	0.344491
MGG_02444T0	6373	6374	7799	93.996
MGG_17251T0	225	226	0	0
MGG_10811T0	1419	1420	0	0
MGG_15612T0	4020	4021	340	6.49572
MGG_00349T0	1011	1012	1784.42	135.456
MGG_16619T0	348	349	0	0
MGG_04614T0	937	938	3549.59	290.709
MGG_16874T0	174	175	4	1.75592
MGG_07147T0	2929	2930	1441.28	37.7887
MGG_00076T0	2460	2461	3174	99.0782
MGG_12797T0	1232	1233	24470	1524.59
MGG_11099T0	1590	1591	0	0
MGG_07363T0	787	788	4	0.389957
MGG_17953T0	4420	4421	3785.22	65.7738
MGG_14898T0	388	389	21	4.14718
MGG_14463T0	1415	1416	345	18.7171
MGG_08330T0	1368	1369	36	2.02014
MGG_09307T0	2126	2127	19	0.686229
MGG_03918T0	2470	2471	961	29.8767
MGG_00421T0	969	970	0	0
MGG_02463T0	815	816	2008.88	189.124
MGG_00675T0	2891	2892	41	1.0891
MGG_15190T0	595	596	1	0.128895
MGG_02777T0	1610	1611	15	0.715284
MGG_05980T0	1438	1439	1122	59.8983
MGG_00454T0	4840	4841	2973	47.1783
MGG_05454T0	1590	1591	6056	292.414
MGG_16029T0	252	253	5	1.51821
MGG_07528T0	1527	1528	151	7.59165
MGG_15909T0	219	220	0	0
MGG_16156T0	493	494	15	2.33264
MGG_05339T0	891	892	502	43.2336
MGG_18122T0	498	499	0	0
MGG_16935T0	1487	1488	5	0.258137
MGG_08406T0	477	478	8830	1419.11
MGG_05005T0	2421	2422	2089	66.2593
MGG_11608T0	2244	2245	27	0.923911
MGG_14221T0	1242	1243	34	2.10131
MGG_15428T0	1674	1675	60	2.75181
MGG_17084T0	2151	2152	116	4.14094
MGG_08114T0	3175	3176	1228	29.703
MGG_06700T0	4022	4023	2224	42.4686
MGG_14591T0	1617	1618	6	0.284876
MGG_07304T0	258	259	0	0
MGG_09457T0	1172	1173	84.5256	5.53571
MGG_07009T0	1011	1012	141.521	10.7429
MGG_15010T0	556	557	30	4.1376
MGG_11663T0	1098	1099	58	4.05427
MGG_00065T0	3029	3030	707.711	17.9431
MGG_10601T0	2183	2184	10	0.351747
MGG_11526T0	633	634	4	0.484678
MGG_13087T0	327	328	0	0
MGG_00223T0	1555	1556	1001	49.4205
MGG_02093T0	1506	1507	0	0
MGG_01153T0	1251	1252	3240	198.803
MGG_02698T0	1675	1676	11	0.504198
MGG_10893T0	1663	1664	395	18.2359
MGG_14635T0	1511	1512	313	15.9029
MGG_17720T0	375	376	123	25.1304
MGG_17976T0	4110	4111	2440	45.5958
MGG_05211T0	4310	4311	3808	67.8581
MGG_05253T0	1815	1816	431	18.2324
MGG_07261T0	2500	2501	133.669	4.10583
MGG_01043T0	2705	2706	1244	35.3163
MGG_04395T0	4996	4997	4122	63.3697
MGG_00786T1	1869	1870	4004.3	164.5
MGG_00786T0	1904	1905	1391.7	56.1222
MGG_06579T0	975	976	8	0.629684
MGG_15326T0	892	893	94	8.08647
MGG_17770T0	318	319	0	0
MGG_03684T0	2464	2465	2916	90.8769
MGG_16981T0	2740	2741	509	14.2656
MGG_17657T0	700	701	0	0
MGG_11239T0	2741	2742	204	5.71538
MGG_08136T0	1643	1644	219	10.2335
MGG_09718T0	1570	1571	93	4.54768
MGG_05720T0	2668	2669	937.233	26.9762
MGG_10455T0	594	595	17	2.1949
MGG_08158T0	1723	1724	200	8.91201
MGG_01319T0	993	994	36	2.78227
MGG_07686T0	729	730	5	0.526175
MGG_04518T0	2276	2277	921	31.0727
MGG_10595T0	3024	3025	4817	122.33
MGG_07332T0	2844	2845	2946.88	79.5726
MGG_00246T0	1594	1595	3338	160.771
MGG_14140T0	1269	1270	0	0
MGG_03888T0	1983	1984	540	20.9091
MGG_17017T0	309	310	28	6.93871
MGG_17237T0	207	208	0	0
MGG_09185T0	3684	3685	91	1.89708
MGG_04634T0	2250	2251	6	0.204766
MGG_15422T0	1101	1102	96	6.69225
MGG_12303T0	273	274	25	7.00926
MGG_05067T0	1594	1595	115.823	5.57851
MGG_04724T0	4323	4324	1000	17.7663
MGG_10534T0	2152	2153	105	3.74652
MGG_06375T0	1961	1962	1446	56.6177
MGG_09428T0	972	973	28	2.21069
MGG_02702T0	501	502	0	0
MGG_05491T0	3200	3201	4	0.0959969
MGG_08646T0	3719	3720	2444	50.4709
MGG_03350T0	735	736	0	0
MGG_03315T0	1005	1006	0	0
MGG_06267T0	1350	1351	1271.77	72.3162
MGG_04557T0	710	711	32	3.45751
MGG_16385T0	321	322	4	0.954304
MGG_16360T0	381	382	11	2.21214
MGG_09467T0	984	985	99	7.72114
MGG_01722T0	2290	2291	2232	74.8431
MGG_01117T0	2575	2576	395	11.7797
MGG_09164T0	2056	2057	13	0.485503
MGG_06775T0	2044	2045	147	5.52213
MGG_06052T0	3840	3841	12178	243.565
MGG_10152T0	3181	3182	285	6.88062
MGG_03456T0	1623	1624	78	3.6897
MGG_05718T0	2436	2437	734	23.1379
MGG_05128T0	2264	2265	3153	106.94
MGG_15417T0	429	430	0	0
MGG_03816T0	1434	1435	2	0.107068
MGG_07298T0	1397	1398	304	16.7051
MGG_00543T0	2181	2182	5293	186.35
MGG_08957T0	381	382	0	0
MGG_04194T0	2002	2003	10	0.383532
MGG_17907T0	354	355	0	0
MGG_07785T0	2112	2113	195.784	7.11806
MGG_02191T0	1340	1341	1	0.0572867
MGG_17222T0	1735	1736	155	6.85906
MGG_04173T0	1753	1754	14151	619.784
MGG_03668T0	3678	3679	2116	44.1844
MGG_09126T0	846	847	10	0.906983
MGG_00070T0	1870	1871	59	2.42248
MGG_10418T0	327	328	0	0
MGG_08016T0	2309	2310	180	5.98609
MGG_16393T0	2074	2075	515	19.0665
MGG_05627T0	1029	1030	100	7.4584
