Id	Function_broad_final	Gene_name	Interpro.Description	label2	downreg_in_guy11_4h	downreg_in_guy11_24h	upreg_in_guy11_0h	upreg_in_guy11_4h	downreg_in_guy11_0h	upreg_in_guy11_24h	node_downreg_in_guy11_4h	node_downreg_in_guy11_24h	node_upreg_in_guy11_0h	node_upreg_in_guy11_4h	node_downreg_in_guy11_0h	node_upreg_in_guy11_24h
MGG_00018	transport		MFS transporter superfamily, Major facilitator superfamily, Major facilitator superfamily domain	MGG_00018#	Δmst12	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	1	1	0	0	0	0
MGG_00021	transcription_factor	FZC62	Zn(2)-C6 fungal-type DNA-binding domain, Zn(2)-C6 fungal-type DNA-binding domain superfamily	FZC62	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00024	binding_scaffold_other		Cytochrome P450, Cytochrome P450 superfamily, Cytochrome P450, E-class, group IV	MGG_00024#	Not_DEG	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	0	1	0	0	0	0
MGG_00032	transcription_factor		Fungal transcription factor, Zn(2)-C6 fungal-type DNA-binding domain, Zn(2)-C6 fungal-type DNA-binding domain superfamily	MGG_00032#	Δmst12	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	1	0	0	0	1	0
MGG_00039	kinases		Four-carbon acid sugar kinase, N-terminal domain, Four-carbon acid sugar kinase, N-terminal domain superfamily, Four-carbon acid sugar kinase, nucleotide binding domain, Four-carbon acid sugar kinase, nucleotide binding domain superfamily	MGG_00039#	Not_DEG	Not_DEG	Δbip1	Not_DEG	Not_DEG	Δbip1	0	0	1	0	0	1
MGG_00045	transport		MFS transporter superfamily, Major facilitator superfamily domain, Major facilitator,  sugar transporter-like, Sugar transporter, conserved site, Sugar/inositol transporter	MGG_00045#	Not_DEG	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	0	1	0	0	0	0
MGG_00049	transcription_factor		Transcription factor domain, fungi, Zn(2)-C6 fungal-type DNA-binding domain, Zn(2)-C6 fungal-type DNA-binding domain superfamily	MGG_00049#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	0	0	0	0	0	1
MGG_00053	translation_ribosome		NUC153, Pre-rRNA-processing protein Esf1	MGG_00053#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00054	transport		MFS transporter superfamily, Major facilitator superfamily, Major facilitator superfamily domain	MGG_00054#	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Δbip1, Δmst12	0	0	0	1	0	1
MGG_00059	binding_scaffold_other		Cytochrome P450, Cytochrome P450 superfamily, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site	MGG_00059#	Not_DEG	Δmst12	Not_DEG	Not_DEG	Not_DEG	Δbip1	0	1	0	0	0	1
MGG_00063	cell_wall_enzymes	AGL1	Eukaryotic glycogen debranching enzyme, N-terminal domain, Glycogen debranching enzyme, Glycogen debranching enzyme, C-terminal, Glycogen debranching enzyme, central domain, Glycogen debranching enzyme, glucanotransferase domain, Glycoside hydrolase superfamily, Six-hairpin glycosidase superfamily, Six-hairpin glycosidase-like superfamily	AGL1	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	0	1	0	0	0	0
MGG_00072	effector		Berberine/berberine-like, FAD linked oxidase, N-terminal, FAD-binding domain, PCMH-type, FAD-binding, type PCMH, subdomain 2, FAD-binding, type PCMH-like superfamily	MGG_00072#	Not_DEG	Δmst12	Not_DEG	Δbip1, Δmst12	Not_DEG	Δbip1	0	1	0	1	0	1
MGG_00075	oxidoreductases		Aldo/keto reductase, NADP-dependent oxidoreductase domain, NADP-dependent oxidoreductase domain superfamily	MGG_00075#	Not_DEG	Not_DEG	Not_DEG	Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
