target_id	length	eff_length	est_counts	tpm
MGG_07573T0	4058	4059	4989	89.3211
MGG_05134T0	1811	1812	4004	160.582
MGG_03309T0	1113	1114	29	1.89179
MGG_07008T0	2587	2588	1703	47.8201
MGG_16787T0	429	430	2	0.338004
MGG_04858T0	3024	3025	7253	174.242
MGG_12006T0	1560	1561	6	0.279324
MGG_02444T0	6373	6374	9220	105.118
MGG_17251T0	225	226	0	0
MGG_10811T0	1419	1420	0	0
MGG_15612T0	4020	4021	56	1.01208
MGG_00349T0	1011	1012	2890.82	207.587
MGG_16619T0	348	349	0	0
MGG_04614T0	937	938	4175.57	323.498
MGG_16874T0	174	175	6	2.49157
MGG_07147T0	2929	2930	688.235	17.0698
MGG_00076T0	2460	2461	2130	62.8967
MGG_12797T0	1232	1233	11209	660.638
MGG_11099T0	1590	1591	0	0
MGG_07363T0	787	788	3	0.276665
MGG_17953T0	4420	4421	4216.93	69.3163
MGG_14898T0	388	389	9	1.68133
MGG_14463T0	1415	1416	869.473	44.6224
MGG_08330T0	1368	1369	69	3.66273
MGG_09307T0	2126	2127	97	3.31409
MGG_03918T0	2470	2471	1101	32.3798
MGG_00421T0	969	970	1	0.0749183
MGG_02463T0	815	816	1640.34	146.085
MGG_00675T0	2891	2892	1227.28	30.8393
MGG_15190T0	595	596	1	0.121931
MGG_02777T0	1610	1611	33	1.4886
MGG_05980T0	1438	1439	17794	898.613
MGG_00454T0	4840	4841	3507	52.6454
MGG_05454T0	1590	1591	9870	450.824
MGG_16029T0	252	253	58	16.6597
MGG_07528T0	1527	1528	357	16.9787
MGG_15909T0	219	220	0	0
MGG_16156T0	493	494	21	3.08924
MGG_05339T0	891	892	327	26.6405
MGG_18122T0	498	499	0	0
MGG_16935T0	1487	1488	3	0.146514
MGG_08406T0	477	478	1560	237.168
MGG_05005T0	2421	2422	1924	57.7285
MGG_11608T0	2244	2245	8	0.25896
MGG_14221T0	1242	1243	14	0.818496
MGG_15428T0	1674	1675	4	0.173542
MGG_17084T0	2151	2152	122	4.11981
MGG_08114T0	3175	3176	1873	42.8565
MGG_06700T0	4022	4023	2503	45.2137
