target_id	length	eff_length	est_counts	tpm
MGG_07573T0	4058	4059	1461	31.896
MGG_05134T0	1811	1812	3015	147.446
MGG_03309T0	1113	1114	10	0.795462
MGG_07008T0	2587	2588	3404	116.555
MGG_16787T0	429	430	0	0
MGG_04858T0	3024	3025	8977	262.973
MGG_12006T0	1560	1561	48	2.72485
MGG_02444T0	6373	6374	2192	30.4743
MGG_17251T0	225	226	0	0
MGG_10811T0	1419	1420	0	0
MGG_15612T0	4020	4021	375	8.26422
MGG_00349T0	1011	1012	7431.42	650.723
MGG_16619T0	348	349	0	0
MGG_04614T0	937	938	2076.41	196.162
MGG_16874T0	174	175	0	0
MGG_07147T0	2929	2930	856	25.8887
MGG_00076T0	2460	2461	829	29.8502
MGG_12797T0	1232	1233	10162	730.333
MGG_11099T0	1590	1591	5	0.278487
MGG_07363T0	787	788	3	0.337365
MGG_17953T0	4420	4421	2875.62	57.6389
MGG_14898T0	388	389	19	4.32821
MGG_14463T0	1415	1416	397.095	24.8505
MGG_08330T0	1368	1369	298	19.2893
MGG_09307T0	2126	2127	96	3.99952
MGG_03918T0	2470	2471	473	16.9626
MGG_00421T0	969	970	0	0
MGG_02463T0	815	816	917.024	99.5853
MGG_00675T0	2891	2892	308.069	9.43963
MGG_15190T0	595	596	3.00822	0.447268
MGG_02777T0	1610	1611	146	8.03086
MGG_05980T0	1438	1439	72607	4471.18
MGG_00454T0	4840	4841	2026	37.0859
MGG_05454T0	1590	1591	3683	205.133
MGG_16029T0	252	253	97	33.9747
MGG_07528T0	1527	1528	1065	61.7634
MGG_15909T0	219	220	0	0
MGG_16156T0	493	494	22	3.94639
MGG_05339T0	891	892	323	32.088
MGG_18122T0	498	499	0	0
MGG_16935T0	1487	1488	3	0.178658
MGG_08406T0	477	478	232	43.0095
MGG_05005T0	2421	2422	1256	45.9537
MGG_11608T0	2244	2245	776	30.6302
MGG_14221T0	1242	1243	12	0.85549
MGG_15428T0	1674	1675	65	3.43877
MGG_17084T0	2151	2152	382	15.7299
MGG_08114T0	3175	3176	1484	41.4055
MGG_06700T0	4022	4023	1740	38.3269
MGG_14591T0	1617	1618	177	9.69392
MGG_07304T0	258	259	4	1.36856
MGG_09457T0	1172	1173	308.218	23.2843
MGG_07009T0	1011	1012	525.37	46.0033
MGG_15010T0	556	557	13	2.0682
MGG_11663T0	1098	1099	118	9.51456
MGG_00065T0	3029	3030	2801.87	81.9427
MGG_10601T0	2183	2184	302	12.2535
MGG_11526T0	633	634	0	0
MGG_13087T0	327	328	0	0
MGG_00223T0	1555	1556	7504	427.354
MGG_02093T0	1506	1507	2	0.117604
MGG_01153T0	1251	1252	3436	243.194
MGG_02698T0	1675	1676	81	4.28268
MGG_10893T0	1663	1664	93	4.95261
MGG_14635T0	1511	1512	257	15.0621
MGG_17720T0	375	376	60	14.1406
MGG_17976T0	4110	4111	1800	38.7998
MGG_05211T0	4310	4311	2532	52.0464
MGG_05253T0	1815	1816	737	35.963
MGG_07261T0	2500	2501	684	24.2352
MGG_01043T0	2705	2706	1781.39	58.3358
MGG_04395T0	4996	4997	3241.53	57.4838
MGG_00786T1	1869	1870	7915.25	375.083
MGG_00786T0	1904	1905	3513.75	163.448
MGG_06579T0	975	976	6	0.544761
MGG_15326T0	892	893	81	8.03782
MGG_17770T0	318	319	0	0
MGG_03684T0	2464	2465	1300	46.7338
MGG_16981T0	2740	2741	670	21.6606
MGG_17657T0	700	701	0	0
MGG_11239T0	2741	2742	626	20.2307
MGG_08136T0	1643	1644	302	16.2783
MGG_09718T0	1570	1571	354	19.9679
MGG_05720T0	2668	2669	713.381	23.6852
MGG_10455T0	594	595	0	0
MGG_08158T0	1723	1724	1292	66.4094
MGG_01319T0	993	994	25	2.22873
MGG_07686T0	729	730	18	2.18501
MGG_04518T0	2276	2277	1056	41.0966
MGG_10595T0	3024	3025	1829	53.5788
MGG_07332T0	2844	2845	933.856	29.0872
MGG_00246T0	1594	1595	2404	133.561
MGG_14140T0	1269	1270	0	0
MGG_03888T0	1983	1984	466	20.8137
MGG_17017T0	309	310	5	1.42927
MGG_17237T0	207	208	0	0
MGG_09185T0	3684	3685	1173	28.2075
MGG_04634T0	2250	2251	13	0.511767
MGG_15422T0	1101	1102	144	11.5794
MGG_12303T0	273	274	71	22.9621
MGG_05067T0	1594	1595	272.378	15.1327
MGG_04724T0	4323	4324	627	12.8495
MGG_10534T0	2152	2153	177	7.28507
MGG_06375T0	1961	1962	696	31.4351
MGG_09428T0	972	973	2	0.182147
MGG_02702T0	501	502	0	0
MGG_05491T0	3200	3201	13	0.359884
MGG_08646T0	3719	3720	1256	29.9193
MGG_03350T0	735	736	382	45.9928
MGG_03315T0	1005	1006	2	0.176172
MGG_06267T0	1350	1351	825.273	54.1311
MGG_04557T0	710	711	210	26.173
MGG_16385T0	321	322	4	1.1008
MGG_16360T0	381	382	0	0
MGG_09467T0	984	985	64	5.75769
MGG_01722T0	2290	2291	1716.21	66.3818
MGG_01117T0	2575	2576	535	18.404
MGG_09164T0	2056	2057	31	1.33546
MGG_06775T0	2044	2045	551	23.8761
MGG_06052T0	3840	3841	3931	90.6908
MGG_10152T0	3181	3182	335	9.3293
MGG_03456T0	1623	1624	233	12.7138
MGG_05718T0	2436	2437	2026	73.6696
MGG_05128T0	2264	2265	25136	983.405
MGG_15417T0	429	430	0	0
MGG_03816T0	1434	1435	0	0
MGG_07298T0	1397	1398	825	52.2939
MGG_00543T0	2181	2182	1569	63.7196
MGG_08957T0	381	382	3	0.695925
MGG_04194T0	2002	2003	69	3.05262
MGG_17907T0	354	355	0	0
MGG_07785T0	2112	2113	829.997	34.8082
MGG_02191T0	1340	1341	0	0
MGG_17222T0	1735	1736	769	39.2538
MGG_04173T0	1753	1754	1035	52.2896
MGG_03668T0	3678	3679	2980	71.778
MGG_09126T0	846	847	16	1.67394
MGG_00070T0	1870	1871	47	2.22602
MGG_10418T0	327	328	0	0
MGG_08016T0	2309	2310	159	6.09944
MGG_16393T0	2074	2075	596	25.4526
MGG_05627T0	1029	1030	247	21.2503
MGG_13629T0	3079	3080	450	12.9469
MGG_11144T0	2144	2145	1068	44.1213
MGG_17499T0	537	538	11.3398	1.86779
MGG_15485T0	904	905	19	1.86041
MGG_11917T0	5142	5143	1986	34.219
MGG_09963T0	2128	2129	386	16.0663
MGG_16222T0	989	990	325.045	29.0946
MGG_08008T0	1229	1230	1165	83.9316
MGG_03498T0	1923	1924	251.603	11.5882
MGG_01616T0	2385	2386	313	11.6246
MGG_02631T0	2146	2147	34	1.4033
MGG_15799T0	321	322	0	0
MGG_03644T0	435	436	1652	335.759
MGG_13801T0	3460	3461	564	14.4405
MGG_09761T0	1121	1122	35731	2822
MGG_01404T0	1327	1328	1952	130.253
MGG_17587T0	189	190	0	0
MGG_09497T0	2338	2339	2966	112.369
MGG_04022T0	1036	1037	605	51.6989
MGG_16750T0	1440	1441	124	7.62539
MGG_10785T0	936	937	10	0.945725
MGG_18035T0	405	406	283	61.7682
MGG_10195T0	2296	2297	10653	410.974
MGG_07437T0	4272	4273	255	5.28825
MGG_12863T0	1239	1240	11	0.786096
MGG_10268T0	2058	2059	1350	58.1008
MGG_09535T0	1617	1618	1456	79.7421
MGG_02863T0	1206	1207	180	13.2151
MGG_01190T0	1260	1261	135	9.48688
MGG_04905T0	2525	2526	980.214	34.3868
MGG_07087T0	3264	3265	862	23.3953
MGG_03894T0	2787	2788	564.959	17.9568
MGG_07428T0	1229	1230	149	10.7346
MGG_07406T0	2151	2152	122	5.02368
MGG_05693T0	2633	2634	3643	122.56
MGG_02907T0	465	466	96	18.2553
MGG_04340T0	2626	2627	7	0.236125
MGG_06914T0	1627	1628	2678	145.768
MGG_15502T0	219	220	7	2.81955
MGG_09523T0	12506	12507	2409	17.0682
MGG_05368T0	1920	1921	331	15.2688
MGG_14006T0	222	223	6	2.38425
MGG_09004T0	1853	1854	1718.69	82.1472
MGG_07804T0	453	454	0	0
MGG_04431T0	4016	4017	2763	60.9514
MGG_13813T0	1278	1279	286.373	19.8411
MGG_02848T0	165	166	2393	1277.44
MGG_10597T0	1167	1168	37	2.80714
MGG_00560T0	2595	2596	590	20.1397
MGG_15427T0	943	944	16	1.50194
MGG_05797T0	2028	2029	525.82	22.9646
MGG_15226T0	2805	2806	2059	65.0239
MGG_06178T0	1893	1894	478	22.3642
MGG_17161T0	270	271	25	8.17477
MGG_01870T0	1485	1486	61	3.63761
MGG_02919T0	1185	1186	331	24.7314
MGG_07382T0	3201	3202	1743	48.237
MGG_07959T0	843	844	1	0.104993
MGG_16791T0	420	421	36	7.57748
MGG_16945T0	658	659	32.7475	4.40349
MGG_04108T0	3642	3643	1694	41.2058
MGG_03468T0	1125	1126	59	4.64321
MGG_09944T0	3054	3055	650	18.8541
MGG_01584T0	1968	1969	1145.52	51.554
MGG_17597T0	168	169	0	0
MGG_06639T0	2340	2341	1866.71	70.6611
MGG_10118T0	4290	4291	1570	32.4224
MGG_05957T0	1247	1248	1181.57	83.8975
